Designator,Mid X,Mid Y,Rotation,Layer
D1,70.785,-77.64675,90.0,bottom
D10,280.335,-77.64675,90.0,bottom
D11,299.385,-77.64675,90.0,bottom
D12,318.435,-77.64675,90.0,bottom
D13,337.485,-77.64675,90.0,bottom
D14,70.785,-99.5475,90.0,bottom
D15,89.835,-99.5475,90.0,bottom
D16,108.885,-99.5475,90.0,bottom
D17,127.935,-99.5475,90.0,bottom
D18,146.985,-99.5475,90.0,bottom
D19,166.035,-99.5475,90.0,bottom
D2,108.885,-77.64675,90.0,bottom
D20,185.085,-99.5475,90.0,bottom
D21,204.135,-99.5475,90.0,bottom
D22,223.185,-99.5475,90.0,bottom
D23,242.235,-99.5475,90.0,bottom
D24,261.285,-99.5475,90.0,bottom
D25,280.335,-99.5475,90.0,bottom
D26,299.385,-99.5475,90.0,bottom
D27,337.485,-99.5475,90.0,bottom
D28,80.31,-118.5975,90.0,bottom
D29,99.36,-118.5975,90.0,bottom
D3,127.935,-77.64675,90.0,bottom
D30,118.41,-118.5975,90.0,bottom
D31,137.46,-118.5975,90.0,bottom
D32,156.51,-118.5975,90.0,bottom
D33,175.56,-118.5975,90.0,bottom
D34,194.61,-118.5975,90.0,bottom
D35,213.66,-118.5975,90.0,bottom
D36,232.71,-118.5975,90.0,bottom
D37,251.76,-118.5975,90.0,bottom
D38,270.81,-118.5975,90.0,bottom
D39,289.86,-118.5975,90.0,bottom
D4,146.985,-77.64675,90.0,bottom
D40,308.91,-118.5975,90.0,bottom
D41,337.485,-118.5975,90.0,bottom
D42,85.0725,-137.6475,90.0,bottom
D43,104.1225,-137.6475,90.0,bottom
D44,123.1725,-137.6475,90.0,bottom
D45,142.2225,-137.6475,90.0,bottom
D46,161.2725,-137.6475,90.0,bottom
D47,180.3225,-137.6475,90.0,bottom
D48,199.3725,-137.6475,90.0,bottom
D49,218.4225,-137.6475,90.0,bottom
D5,166.035,-77.64675,90.0,bottom
D50,237.4725,-137.6475,90.0,bottom
D51,256.5225,-137.6475,90.0,bottom
D52,275.5725,-137.6475,90.0,bottom
D53,294.6225,-137.6475,90.0,bottom
D54,337.485,-137.6475,90.0,bottom
D55,94.5975,-156.6975,90.0,bottom
D56,113.6475,-156.6975,90.0,bottom
D57,132.6975,-156.6975,90.0,bottom
D58,151.7475,-156.6975,90.0,bottom
D59,170.7975,-156.6975,90.0,bottom
D6,194.61,-77.64675,90.0,bottom
D60,189.8475,-156.6975,90.0,bottom
D61,208.8975,-156.6975,90.0,bottom
D62,227.9475,-156.6975,90.0,bottom
D63,246.9975,-156.6975,90.0,bottom
D64,266.0475,-156.6975,90.0,bottom
D65,285.0975,-156.6975,90.0,bottom
D66,337.485,-156.6975,90.0,bottom
D67,356.535,-156.6975,90.0,bottom
D68,75.5475,-175.7475,90.0,bottom
D69,99.36,-175.7475,90.0,bottom
D7,213.66,-77.64675,90.0,bottom
D70,123.1725,-175.7475,90.0,bottom
D71,242.235,-175.7475,90.0,bottom
D72,266.0475,-175.7475,90.0,bottom
D73,289.86,-175.7475,90.0,bottom
D74,313.6725,-175.7475,90.0,bottom
D75,337.485,-175.7475,90.0,bottom
D76,356.535,-175.7475,90.0,bottom
D77,375.585,-175.7475,90.0,bottom
D8,232.71,-77.64675,90.0,bottom
D9,251.76,-77.64675,90.0,bottom
S1,61.26,-77.64675,0.0,top
S10,270.81,-77.64675,0.0,top
S11,289.86,-77.64675,0.0,top
S12,308.91,-77.64675,0.0,top
S13,327.96,-77.64675,0.0,top
S14,61.26,-99.5475,0.0,top
S15,80.31,-99.5475,0.0,top
S16,99.36,-99.5475,0.0,top
S17,118.41,-99.5475,0.0,top
S18,137.46,-99.5475,0.0,top
S19,156.51,-99.5475,0.0,top
S2,99.36,-77.64675,0.0,top
S20,175.56,-99.5475,0.0,top
S21,194.61,-99.5475,0.0,top
S22,213.66,-99.5475,0.0,top
S23,232.71,-99.5475,0.0,top
S24,251.76,-99.5475,0.0,top
S25,270.81,-99.5475,0.0,top
S26,289.86,-99.5475,0.0,top
S27,318.435,-99.5475,0.0,top
S28,66.0225,-118.5975,0.0,top
S29,89.835,-118.5975,0.0,top
S3,118.41,-77.64675,0.0,top
S30,108.885,-118.5975,0.0,top
S31,127.935,-118.5975,0.0,top
S32,146.985,-118.5975,0.0,top
S33,166.035,-118.5975,0.0,top
S34,185.085,-118.5975,0.0,top
S35,204.135,-118.5975,0.0,top
S36,223.185,-118.5975,0.0,top
S37,242.235,-118.5975,0.0,top
S38,261.285,-118.5975,0.0,top
S39,280.335,-118.5975,0.0,top
S4,137.46,-77.64675,0.0,top
S40,299.385,-118.5975,0.0,top
S41,323.1975,-118.5975,0.0,top
S42,68.40375,-137.6475,0.0,top
S43,94.5975,-137.6475,0.0,top
S44,113.6475,-137.6475,0.0,top
S45,132.6975,-137.6475,0.0,top
S46,151.7475,-137.6475,0.0,top
S47,170.7975,-137.6475,0.0,top
S48,189.8475,-137.6475,0.0,top
S49,208.8975,-137.6475,0.0,top
S5,156.51,-77.64675,0.0,top
S50,227.9475,-137.6475,0.0,top
S51,246.9975,-137.6475,0.0,top
S52,266.0475,-137.6475,0.0,top
S53,285.0975,-137.6475,0.0,top
S54,316.05375,-137.6475,0.0,top
S55,73.16625,-156.6975,0.0,top
S56,104.1225,-156.6975,0.0,top
S57,123.1725,-156.6975,0.0,top
S58,142.2225,-156.6975,0.0,top
S59,161.2725,-156.6975,0.0,top
S6,185.085,-77.64675,0.0,top
S60,180.3225,-156.6975,0.0,top
S61,199.3725,-156.6975,0.0,top
S62,218.4225,-156.6975,0.0,top
S63,237.4725,-156.6975,0.0,top
S64,256.5225,-156.6975,0.0,top
S65,275.5725,-156.6975,0.0,top
S66,311.29125,-156.6975,0.0,top
S67,347.01,-156.6975,0.0,top
S68,63.64125,-175.7475,0.0,top
S69,87.45375,-175.7475,0.0,top
S7,204.135,-77.64675,0.0,top
S70,111.26625,-175.7475,0.0,top
S71,182.70375,-175.7475,0.0,top
S72,254.14125,-175.7475,0.0,top
S73,277.95375,-175.7475,0.0,top
S74,301.76625,-175.7475,0.0,top
S75,327.96,-175.7475,0.0,top
S76,347.01,-175.7475,0.0,top
S77,366.06,-175.7475,0.0,top
S8,223.185,-77.64675,0.0,top
S9,242.235,-77.64675,0.0,top
U2,358.44,-93.1975,0.0,top
